cod_areacarga;dat_referencia;din_referenciautc;val_cargaglobalcons;val_cargaglobal;val_consistencia
RR;2020-11-25;2020-11-25T03:30:00Z;153,3473;153,3473;0
RR;2020-11-25;2020-11-25T04:00:00Z;153,3252;153,3252;0
RR;2020-11-25;2020-11-25T04:30:00Z;151,1257;151,1257;0
RR;2020-11-25;2020-11-25T05:00:00Z;147,1373;147,1373;0
RR;2020-11-25;2020-11-25T05:30:00Z;142,0856;142,0856;0
RR;2020-11-25;2020-11-25T06:00:00Z;143,0064;143,0064;0
RR;2020-11-25;2020-11-25T06:30:00Z;139,96;139,96;0
RR;2020-11-25;2020-11-25T07:00:00Z;136,4195;136,4195;0
RR;2020-11-25;2020-11-25T07:30:00Z;133,6707;133,6707;0
RR;2020-11-25;2020-11-25T08:00:00Z;130,125;130,125;0
RR;2020-11-25;2020-11-25T08:30:00Z;127,5155;127,5155;0
RR;2020-11-25;2020-11-25T09:00:00Z;123,6571;123,6571;0
RR;2020-11-25;2020-11-25T09:30:00Z;121,9296;121,9296;0
RR;2020-11-25;2020-11-25T10:00:00Z;124,544;124,544;0
RR;2020-11-25;2020-11-25T10:30:00Z;112,7902;112,7902;0
RR;2020-11-25;2020-11-25T11:00:00Z;105,0342;105,0342;0
RR;2020-11-25;2020-11-25T11:30:00Z;102,8737;102,8737;0
RR;2020-11-25;2020-11-25T12:00:00Z;106,46;106,46;0
RR;2020-11-25;2020-11-25T12:30:00Z;114,2345;114,2345;0
RR;2020-11-25;2020-11-25T13:00:00Z;112,8273;112,8273;0
RR;2020-11-25;2020-11-25T13:30:00Z;118,0395;118,0395;0
RR;2020-11-25;2020-11-25T14:00:00Z;118,5163;118,5163;0
RR;2020-11-25;2020-11-25T14:30:00Z;118,3032;118,3032;0
RR;2020-11-25;2020-11-25T15:00:00Z;118,127;118,127;0
RR;2020-11-25;2020-11-25T15:30:00Z;118,7712;118,7712;0
RR;2020-11-25;2020-11-25T16:00:00Z;118,0953;118,0953;0
RR;2020-11-25;2020-11-25T16:30:00Z;116,6319;116,6319;0
RR;2020-11-25;2020-11-25T17:00:00Z;120,4283;120,4283;0
RR;2020-11-25;2020-11-25T17:30:00Z;126,5473;126,5473;0
RR;2020-11-25;2020-11-25T18:00:00Z;133,1902;133,1902;0
RR;2020-11-25;2020-11-25T18:30:00Z;139,0811;139,0811;0
RR;2020-11-25;2020-11-25T19:00:00Z;142,438;142,438;0
RR;2020-11-25;2020-11-25T19:30:00Z;139,6412;139,6412;0
